# Oh	Temp [°C]
27830	86
28332	85
28641	85
29135	85
29749	83
29940	84
30743	83
31266	80
31384	80
31943	84
32039	84
32728	87
32775	85
33415	86
34157	87
34351	88
34610	86
35291	86
36061	82
36584	82
36630	82
37305	82
37398	82
38103	83
38643	83
38886	82
38930	82
39570	82
40249	83
40747	83
40890	89
41671	87
42343	86
42530	88
42812	86
42831	88
42973	88
43158	89
43828	86
44287	86
44618	86
45048	83
45188	86
46145	86
46817	85
46970	86
47127	86
47315	86
48153	84
48154	81
48851	82
48868	81
49181	83
49681	85
50196	83
50197	83
50976	85
51310	85
51693	85
52126	81
52939	80
52985	80
53746	80
54178	80
54345	80
54849	80
55109	79
55250	79
55762	79
56238	79
56523	79
56993	84
57278	84
57618	83
57730	83
57849	84
58013	83
58348	86
58755	85
59395	82
60167	79
60333	79
60667	78
60862	78
61313	76
61640	78
62236	78
62712	71
62733	78
62877	79
63065	80
63701	82
63960	82
64373	81
65032	84
65613	79
65633	83
65951	81
